SALE TYPE,PROPERTY TYPE,PROPERTY ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,PROPERTY LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,HOA MONTH,PROPERTY STATUS,SOURCE_\ URL ,SOURCE,MLS NO,LATITUDE,LONGITUDE
MLS Listing,Condo/Co-op,1000 3rd St #906,San Francisco,CA,94158,1395000,2,2.0,San Francisco,1156,46014,2018,1,944,Active,http://www.redfin.com/CA/San-Francisco/1000-3rd-St-94158/unit-906/home/167382682,San Francisco MLS,421516418,37.7752125,-122.3902276
MLS Listing,Condo/Co-op,3550 Market St,San Francisco,CA,94131,1249000,2,2.0,San Francisco,1143,11946,1979,1,660,Active,http://www.redfin.com/CA/San-Francisco/3550-Market-St-94131/unit-101/home/1867663,San Francisco MLS,421517267,37.756311,-122.4418549
MLS Listing,Condo/Co-op,3345 21st St,San Francisco,CA,94110,1995000,3,2.0,San Francisco,2050,2855,1885,1,176,Active,http://www.redfin.com/CA/San-Francisco/3345-21st-St-94110/home/11743092,San Francisco MLS,421516094,37.7565979,-122.422091
MLS Listing,Condo/Co-op,3827 Clay St,San Francisco,CA,94118,2750000,2,2.0,San Francisco,2005,,1904,1,300,Active,http://www.redfin.com/CA/San-Francisco/3827-Clay-St-94118/home/2023625,San Francisco MLS,505893,37.78773,-122.455826
MLS Listing,Single Family Residential,971 Le Conte Ave,San Francisco,CA,94124,849000,2,1.0,San Francisco,841,2674,1941,1,,Active,http://www.redfin.com/CA/San-Francisco/971-Le-Conte-Ave-94124/home/1885302,San Francisco MLS,421517092,37.7178249,-122.396131
MLS Listing,Condo/Co-op,1762 Jackson St,San Francisco,CA,94109,1650000,3,2.0,San Francisco,,3255,1950,1,400,Active,http://www.redfin.com/CA/San-Francisco/1762-Jackson-St-94109/home/1659074,San Francisco MLS,508829,37.7940277,-122.4241846
MLS Listing,Condo/Co-op,350 Broderick St #202,San Francisco,CA,94117,1095000,2,2.0,San Francisco,1125,,2007,1,569,Active,http://www.redfin.com/CA/San-Francisco/350-Broderick-St-94117/unit-202/home/22889826,San Francisco MLS,421516919,37.7734397,-122.4387558
MLS Listing,Multi-Family (2-4 Unit),130 Alpine Ter,San Francisco,CA,94117,2399000,4,4.0,San Francisco,2900,2901,1906,1,,Active,http://www.redfin.com/CA/San-Francisco/130-Alpine-Ter-94117/home/1905199,San Francisco MLS,421517124,37.768359,-122.4376781
MLS Listing,Multi-Family (2-4 Unit),1718 - 1722 Bryant St,San Francisco,CA,94110,2250000,8,5.0,San Francisco,5300,2500,1900,1,,Active,http://www.redfin.com/CA/San-Francisco/1718-Bryant-St-94110/home/1479341,San Francisco MLS,509818,37.7651022,-122.4107517
MLS Listing,Condo/Co-op,233 Franklin St #406,San Francisco,CA,94102,1650000,2,2.0,San Francisco,1360,13254,2010,1,650,Active,http://www.redfin.com/CA/San-Francisco/233-Franklin-St-94102/unit-406/home/40138532,San Francisco MLS,421516955,37.7768456,-122.4215082
MLS Listing,Condo/Co-op,1 Hawthorne St Unit 20A,San Francisco,CA,94105,1100000,1,1.0,San Francisco,909,,,1,839,Active,http://www.redfin.com/CA/San-Francisco/1-Hawthorne-St-94105/unit-20A/home/69371171,San Francisco MLS,513923,37.7857356,-122.3989521
MLS Listing,Condo/Co-op,280 Spear St Unit 6J,San Francisco,CA,94105,1695000,2,2.0,San Francisco,1422,52272,,1,1284,Active,http://www.redfin.com/CA/San-Francisco/280-Spear-St-94105/unit-6J/home/170002427,San Francisco MLS,421517254,37.7903739,-122.3913812
MLS Listing,Single Family Residential,2130 Quesada Ave,San Francisco,CA,94124,895000,4,2.0,San Francisco,1575,2500,1944,1,,Active,http://www.redfin.com/CA/San-Francisco/2130-Quesada-Ave-94124/home/1828696,San Francisco MLS,514561,37.7380675,-122.3994117
MLS Listing,Condo/Co-op,5 Cyrus Pl Unit A,San Francisco,CA,94109,1695000,2,2.5,San Francisco,1310,2468,1902,1,350,Active,http://www.redfin.com/CA/San-Francisco/5-Cyrus-Pl-94109/unit-A/home/39930485,San Francisco MLS,421516439,37.7961153,-122.4173109
MLS Listing,Single Family Residential,1423 24th Ave,San Francisco,CA,94122,1999999,7,5.0,San Francisco,3915,3000,1911,1,,Active,http://www.redfin.com/CA/San-Francisco/1423-24th-Ave-94122/home/1500328,San Francisco MLS,421517177,37.7609632,-122.4826462
MLS Listing,Condo/Co-op,300 Berry St #1504,San Francisco,CA,94158,950000,1,1.0,San Francisco,856,,2009,1,606,Active,http://www.redfin.com/CA/San-Francisco/300-Berry-St-94158/unit-1504/home/28938802,San Francisco MLS,508520,37.7739297,-122.3962408
MLS Listing,Single Family Residential,2946 22nd St,San Francisco,CA,94110,939000,2,1.0,San Francisco,,2273,1909,1,449,Active,http://www.redfin.com/CA/San-Francisco/2946-22nd-St-94110/home/12543169,San Francisco MLS,421516791,37.75596,-122.4131578
MLS Listing,Single Family Residential,2731 Pacheco St,San Francisco,CA,94116,999000,2,1.0,San Francisco,800,1873,1943,1,,Active,http://www.redfin.com/CA/San-Francisco/2731-Pacheco-St-94116/home/1219526,San Francisco MLS,515646,37.7497404,-122.489648
MLS Listing,Single Family Residential,3888 26th St,San Francisco,CA,94131,2395000,3,2.5,San Francisco,2120,1288,1915,1,,Active,http://www.redfin.com/CA/San-Francisco/3888-26th-St-94131/home/1769238,San Francisco MLS,514030,37.7486747,-122.4267396
